CustomerID,gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,Churn_Binary,Cluster
45,Male,0,No,25,Yes,Yes,DSL,Month-to-month,95,Yes,1,0
46,Female,0,Yes,52,Yes,Yes,Fiber optic,Month-to-month,20,No,0,1
47,Female,1,No,7,Yes,No,DSL,Month-to-month,76,Yes,1,3
48,Male,0,No,13,Yes,No,Fiber optic,Month-to-month,80,Yes,1,0
49,Female,1,No,15,Yes,Yes,DSL,Two year,90,Yes,1,3
50,Male,0,No,22,Yes,Yes,DSL,Two year,55,Yes,1,0
51,Female,0,No,19,Yes,Yes,Fiber optic,Month-to-month,20,No,0,1
52,Male,0,Yes,23,No,No,Fiber optic,Month-to-month,30,No,0,1
53,Female,0,No,72,Yes,Yes,DSL,Month-to-month,114,No,0,2
54,Male,1,No,72,Yes,Yes,Fiber optic,Month-to-month,98,No,0,3
55,Female,0,Yes,59,Yes,No,DSL,One year,97,No,0,2
56,Female,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,75,No,0,2
57,Male,0,Yes,70,Yes,Yes,Fiber optic,One year,101,No,0,2
58,Male,0,Yes,9,Yes,Yes,Fiber optic,One year,103,No,0,0
59,Female,0,No,3,Yes,Yes,DSL,Two year,25,No,0,1
60,Male,1,No,17,Yes,Yes,Fiber optic,Two year,102,No,0,3
61,Female,0,Yes,28,Yes,Yes,Fiber optic,Month-to-month,70,No,0,0
62,Female,0,No,10,Yes,Yes,Fiber optic,Month-to-month,54,No,0,0
63,Male,0,Yes,11,Yes,No,DSL,Two year,21,No,0,1
64,Male,1,No,72,Yes,No,DSL,One year,103,No,0,3
65,Male,0,No,8,Yes,Yes,Fiber optic,Month-to-month,70,Yes,1,0
66,Male,1,No,69,Yes,No,DSL,Month-to-month,20,No,0,3
67,Female,0,Yes,39,Yes,Yes,Fiber optic,One year,20,No,0,1
68,Male,0,Yes,67,No,No,DSL,Two year,51,No,0,2
69,Male,0,No,39,Yes,No,DSL,Two year,20,No,0,1
70,Male,0,Yes,54,Yes,No,Fiber optic,Month-to-month,66,No,0,2
71,Female,0,No,1,Yes,No,DSL,Month-to-month,74,Yes,1,0
72,Female,0,Yes,72,No,No,DSL,One year,60,No,0,2
73,Male,0,No,10,Yes,Yes,Fiber optic,Two year,99,Yes,1,0
74,Male,0,Yes,13,Yes,Yes,DSL,Two year,97,Yes,1,0
75,Female,0,No,35,Yes,No,DSL,Month-to-month,99,No,0,2
76,Male,0,Yes,12,No,Yes,Fiber optic,One year,36,No,0,1
77,Male,0,No,31,Yes,No,DSL,One year,91,No,0,0
78,Female,0,Yes,53,Yes,No,DSL,Month-to-month,108,No,0,2
79,Male,0,No,1,Yes,No,DSL,Month-to-month,20,No,0,1
80,Male,0,No,30,Yes,Yes,DSL,One year,20,No,0,1
81,Female,0,No,46,Yes,No,Fiber optic,Month-to-month,75,No,0,2
82,Female,0,No,19,Yes,No,DSL,Month-to-month,90,Yes,1,0
83,Female,0,No,23,Yes,No,Fiber optic,Month-to-month,54,No,0,0
84,Female,1,No,15,Yes,No,Fiber optic,Month-to-month,55,Yes,1,3
85,Male,0,No,48,Yes,No,DSL,Two year,20,No,0,1
86,Male,0,Yes,25,Yes,Yes,Fiber optic,Month-to-month,96,Yes,1,0
87,Male,0,No,52,Yes,No,DSL,One year,105,Yes,1,2
88,Male,0,No,12,Yes,No,DSL,Two year,82,Yes,1,0
89,Female,0,No,48,Yes,No,DSL,Two year,25,No,0,1
90,Female,0,No,38,Yes,No,DSL,Month-to-month,20,No,0,1
91,Female,0,No,18,No,No,Fiber optic,Month-to-month,35,No,0,1
92,Female,0,No,45,Yes,No,Fiber optic,Month-to-month,50,No,0,1
93,Male,0,No,12,Yes,Yes,DSL,Two year,90,No,0,0
94,Female,1,No,66,Yes,Yes,Fiber optic,Month-to-month,102,No,0,3
95,Female,0,No,72,Yes,Yes,Fiber optic,Two year,20,No,0,1
96,Female,0,No,70,No,Yes,Fiber optic,Month-to-month,45,No,0,2
97,Female,0,No,27,Yes,Yes,DSL,One year,90,No,0,0
98,Male,0,No,1,Yes,No,DSL,Month-to-month,20,No,0,1
99,Male,1,No,13,Yes,No,DSL,Two year,95,Yes,1,3
100,Female,0,Yes,65,Yes,No,Fiber optic,Month-to-month,90,No,0,2
101,Female,0,Yes,14,Yes,No,DSL,Month-to-month,70,No,0,0
102,Female,0,Yes,17,Yes,No,DSL,Month-to-month,85,Yes,1,0
103,Female,0,No,31,Yes,Yes,Fiber optic,One year,21,No,0,1
104,Male,0,Yes,24,Yes,No,DSL,One year,24,No,0,1
105,Female,0,No,3,Yes,Yes,Fiber optic,Two year,20,No,0,1
106,Male,0,No,17,Yes,No,DSL,Month-to-month,77,Yes,1,0
107,Male,0,No,66,Yes,Yes,Fiber optic,One year,69,No,0,2
108,Male,0,No,45,Yes,No,DSL,One year,53,No,0,1
109,Male,0,No,35,Yes,Yes,Fiber optic,One year,92,No,0,2
110,Male,0,Yes,40,No,No,DSL,Two year,40,No,0,1
111,Female,0,No,10,Yes,Yes,Fiber optic,Month-to-month,85,Yes,1,0
112,Female,0,No,52,Yes,No,DSL,One year,64,No,0,2
113,Female,0,No,13,Yes,No,Fiber optic,Month-to-month,19,No,0,1
114,Female,1,No,43,Yes,Yes,Fiber optic,Month-to-month,90,No,0,3
115,Female,0,No,41,Yes,No,DSL,Two year,20,No,0,1
116,Female,1,No,52,No,No,Fiber optic,Month-to-month,50,No,0,3
117,Female,0,No,71,Yes,No,DSL,Two year,93,No,0,2
118,Male,0,No,61,Yes,Yes,Fiber optic,Month-to-month,106,No,0,2
119,Female,0,No,26,No,No,DSL,Two year,44,No,0,1
120,Male,0,Yes,72,Yes,Yes,Fiber optic,Month-to-month,68,No,0,2
121,Female,0,No,42,Yes,Yes,Fiber optic,One year,78,No,0,2
122,Female,0,Yes,57,Yes,No,DSL,Month-to-month,65,No,0,2
123,Male,0,Yes,9,Yes,Yes,Fiber optic,Month-to-month,20,No,0,1
124,Female,0,No,9,Yes,No,DSL,Month-to-month,71,Yes,1,0
125,Male,0,No,33,Yes,No,DSL,Month-to-month,45,No,0,1
126,Male,0,No,1,Yes,No,Fiber optic,Two year,19,No,0,1
127,Female,0,No,7,Yes,Yes,Fiber optic,Month-to-month,79,Yes,1,0
128,Male,0,No,1,Yes,Yes,DSL,Two year,72,Yes,1,0
129,Male,0,Yes,65,Yes,No,DSL,Month-to-month,20,No,0,1
130,Male,0,No,10,Yes,No,DSL,One year,86,Yes,1,0
131,Male,0,No,70,Yes,Yes,Fiber optic,Month-to-month,95,No,0,2
132,Female,0,No,29,Yes,No,DSL,Month-to-month,99,Yes,1,0
133,Male,0,Yes,21,Yes,No,DSL,Two year,104,Yes,1,0
134,Male,0,No,1,Yes,No,DSL,Month-to-month,91,Yes,1,0
135,Male,0,No,5,Yes,No,DSL,Month-to-month,20,No,0,1
136,Male,0,No,56,Yes,Yes,DSL,Two year,90,No,0,2
137,Male,0,Yes,35,Yes,No,Fiber optic,Month-to-month,85,Yes,1,2
138,Male,0,Yes,10,Yes,No,DSL,Two year,20,No,0,1
139,Female,0,No,31,No,No,DSL,Two year,50,No,0,1
140,Male,1,No,37,Yes,No,Fiber optic,Month-to-month,86,Yes,1,3
141,Male,1,No,57,Yes,Yes,DSL,Two year,95,Yes,1,3
142,Female,0,Yes,34,Yes,Yes,DSL,Month-to-month,26,No,0,1
143,Female,0,No,3,Yes,Yes,Fiber optic,Two year,99,Yes,1,0
144,Female,0,No,4,Yes,Yes,Fiber optic,One year,83,No,0,0
145,Female,0,No,54,Yes,Yes,DSL,Two year,20,No,0,1
146,Male,0,Yes,6,Yes,Yes,Fiber optic,Two year,20,No,0,1
147,Male,0,No,22,Yes,No,DSL,One year,60,No,0,0
148,Male,0,No,23,Yes,No,DSL,Month-to-month,97,No,0,0
149,Female,0,No,68,Yes,No,DSL,One year,58,No,0,2
150,Female,0,Yes,48,Yes,No,DSL,Month-to-month,20,No,0,1
151,Male,0,Yes,34,Yes,No,DSL,Month-to-month,21,No,0,1
152,Female,0,No,41,Yes,Yes,Fiber optic,Month-to-month,80,No,0,2
153,Male,0,No,9,Yes,Yes,Fiber optic,One year,76,No,0,0
154,Female,1,No,18,Yes,No,DSL,Two year,104,No,0,3
155,Male,0,No,35,Yes,No,DSL,Month-to-month,96,No,0,2
156,Male,0,Yes,55,Yes,No,Fiber optic,Month-to-month,79,No,0,2
157,Male,0,No,54,Yes,Yes,Fiber optic,Month-to-month,108,No,0,2
158,Female,1,No,2,Yes,No,DSL,One year,79,Yes,1,3
159,Male,0,No,52,Yes,No,DSL,Two year,106,No,0,2
160,Male,0,No,72,Yes,Yes,DSL,Two year,70,No,0,2
161,Male,0,No,9,Yes,No,DSL,Month-to-month,70,No,0,0
162,Female,0,Yes,3,Yes,Yes,Fiber optic,Month-to-month,70,No,0,0
163,Male,1,No,4,Yes,No,Fiber optic,Month-to-month,75,No,0,3
164,Male,0,Yes,69,Yes,Yes,DSL,Two year,76,No,0,2
165,Female,0,Yes,67,No,No,DSL,One year,36,No,0,1
166,Male,0,No,4,Yes,No,DSL,Two year,80,Yes,1,0
167,Male,0,No,13,No,No,Fiber optic,Month-to-month,46,Yes,1,1
168,Female,0,Yes,45,Yes,Yes,DSL,Two year,81,No,0,2
169,Male,0,No,68,Yes,No,DSL,Month-to-month,101,No,0,2
170,Female,0,Yes,69,Yes,No,DSL,Month-to-month,74,No,0,2
171,Female,0,No,70,No,No,Fiber optic,One year,58,No,0,2
172,Female,0,No,1,Yes,Yes,Fiber optic,Month-to-month,20,Yes,1,1
173,Female,0,Yes,45,Yes,No,DSL,Two year,26,No,0,1
174,Female,0,Yes,37,Yes,No,Fiber optic,One year,20,No,0,1
175,Female,0,Yes,10,No,No,DSL,One year,40,No,0,1
176,Female,0,Yes,1,Yes,Yes,DSL,Month-to-month,89,No,0,0
177,Male,0,Yes,29,Yes,Yes,Fiber optic,Month-to-month,69,No,0,0
178,Male,1,Yes,72,Yes,No,Fiber optic,Month-to-month,104,No,0,3
179,Female,0,No,2,Yes,Yes,Fiber optic,Month-to-month,76,Yes,1,0
180,Male,0,No,24,Yes,No,DSL,One year,54,No,0,0
181,Female,0,No,4,Yes,No,DSL,Month-to-month,79,Yes,1,0
182,Male,0,No,72,Yes,No,DSL,Month-to-month,19,No,0,1
183,Female,0,No,11,Yes,Yes,Fiber optic,Month-to-month,79,No,0,0
184,Female,0,Yes,44,Yes,No,DSL,One year,20,No,0,1
185,Male,0,Yes,62,Yes,No,Fiber optic,Month-to-month,20,No,0,1
186,Male,0,Yes,70,Yes,No,DSL,Month-to-month,25,No,0,1
187,Female,1,No,1,No,No,DSL,Month-to-month,25,Yes,1,3
188,Female,0,No,4,Yes,No,DSL,Month-to-month,106,Yes,1,0
189,Female,1,No,2,Yes,No,DSL,One year,86,Yes,1,3
190,Female,0,No,41,Yes,Yes,DSL,Month-to-month,56,No,0,0
191,Female,1,No,1,Yes,Yes,DSL,One year,19,Yes,1,3
192,Male,1,No,72,Yes,No,Fiber optic,Month-to-month,84,No,0,3
193,Female,0,No,63,Yes,No,DSL,Two year,109,No,0,2
194,Male,0,No,68,Yes,Yes,Fiber optic,Two year,80,No,0,2
195,Female,1,No,59,Yes,No,DSL,Two year,100,No,0,3
196,Male,1,No,52,No,No,Fiber optic,Month-to-month,49,No,0,3
197,Male,1,Yes,26,Yes,Yes,DSL,Two year,106,Yes,1,3
198,Male,0,No,66,No,Yes,Fiber optic,Month-to-month,57,No,0,2
199,Female,1,No,56,Yes,Yes,Fiber optic,Two year,96,No,0,3
200,Female,0,No,72,Yes,No,DSL,Month-to-month,79,No,0,2
201,Male,1,No,2,Yes,No,Fiber optic,One year,70,No,0,3
202,Male,0,No,68,Yes,No,Fiber optic,Month-to-month,117,No,0,2
203,Male,0,Yes,61,Yes,Yes,Fiber optic,Two year,85,No,0,2
204,Male,0,No,1,Yes,No,Fiber optic,Month-to-month,20,No,0,1
205,Male,0,No,2,Yes,No,Fiber optic,Month-to-month,20,No,0,1
206,Female,0,No,2,Yes,No,Fiber optic,One year,20,Yes,1,1
207,Male,1,Yes,68,Yes,No,DSL,Two year,85,No,0,3
208,Male,0,No,9,Yes,No,Fiber optic,Month-to-month,68,No,0,0
209,Male,0,No,13,Yes,No,Fiber optic,Month-to-month,83,Yes,1,0
210,Female,0,No,22,Yes,No,Fiber optic,One year,20,No,0,1
211,Male,0,Yes,66,Yes,No,DSL,Month-to-month,25,No,0,1
212,Male,0,Yes,8,Yes,No,DSL,Month-to-month,20,No,0,1
213,Male,0,Yes,2,Yes,No,DSL,Two year,70,No,0,0
214,Male,0,No,3,Yes,No,DSL,One year,56,No,0,0
215,Male,0,No,5,Yes,Yes,Fiber optic,Month-to-month,92,Yes,1,0
216,Male,0,No,13,Yes,No,DSL,Month-to-month,20,No,0,1
217,Male,0,Yes,53,Yes,No,DSL,Two year,65,No,0,2
218,Male,0,No,3,Yes,No,DSL,Two year,20,No,0,1
219,Male,0,No,46,Yes,Yes,DSL,Two year,95,No,0,2
220,Female,0,No,39,No,No,Fiber optic,Month-to-month,40,No,0,1
221,Female,0,Yes,30,Yes,No,Fiber optic,Month-to-month,108,No,0,2
222,Female,0,No,23,Yes,Yes,DSL,Two year,99,No,0,0
223,Male,0,Yes,40,Yes,No,DSL,One year,20,No,0,1
224,Female,0,No,45,Yes,No,DSL,Month-to-month,63,No,0,2
225,Male,0,No,53,Yes,No,DSL,One year,20,No,0,1
226,Female,1,No,72,Yes,No,DSL,One year,112,No,0,3
227,Male,0,Yes,28,Yes,No,DSL,One year,20,No,0,1
228,Female,0,No,49,Yes,No,DSL,Month-to-month,67,No,0,2
229,Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,75,Yes,1,0
230,Female,0,No,20,Yes,Yes,DSL,Two year,81,No,0,0
231,Female,0,Yes,53,Yes,Yes,Fiber optic,Two year,61,No,0,2
232,Male,0,No,67,Yes,No,Fiber optic,Month-to-month,69,No,0,2
233,Male,0,No,11,Yes,No,Fiber optic,Month-to-month,74,Yes,1,0
234,Female,0,Yes,52,Yes,No,DSL,Two year,86,No,0,2
235,Female,0,No,1,Yes,Yes,DSL,Month-to-month,91,Yes,1,0
236,Female,0,No,48,Yes,Yes,DSL,Month-to-month,56,No,0,2
237,Female,0,No,7,Yes,No,DSL,Two year,75,Yes,1,0
238,Male,0,Yes,7,Yes,Yes,Fiber optic,Month-to-month,71,No,0,0
239,Female,0,Yes,12,Yes,No,Fiber optic,Month-to-month,84,No,0,0
240,Male,0,No,40,Yes,No,DSL,Two year,25,No,0,1
241,Male,0,No,55,Yes,Yes,DSL,Two year,78,No,0,2
242,Female,0,No,20,Yes,Yes,Fiber optic,Two year,20,No,0,1
243,Male,0,No,1,No,No,DSL,One year,36,Yes,1,1
244,Female,0,Yes,72,Yes,No,Fiber optic,Month-to-month,84,No,0,2
245,Male,0,No,63,Yes,No,DSL,Month-to-month,110,No,0,2
246,Female,0,No,70,No,No,Fiber optic,Month-to-month,65,No,0,2
247,Female,0,No,8,Yes,Yes,DSL,One year,64,No,0,0
248,Female,0,No,1,Yes,No,Fiber optic,Month-to-month,46,Yes,1,0
249,Male,0,No,16,Yes,No,DSL,Month-to-month,20,No,0,1
250,Female,0,Yes,11,No,Yes,Fiber optic,One year,25,No,0,1
251,Male,0,No,11,Yes,No,Fiber optic,One year,75,Yes,1,0
252,Female,0,Yes,41,Yes,No,Fiber optic,Month-to-month,88,No,0,2
253,Male,0,Yes,14,Yes,No,DSL,Month-to-month,76,No,0,0
254,Female,0,No,61,Yes,Yes,DSL,One year,89,No,0,2
255,Female,0,No,20,Yes,No,DSL,Month-to-month,89,No,0,0
256,Female,0,No,47,Yes,No,DSL,Two year,106,Yes,1,2
257,Male,0,Yes,2,Yes,Yes,Fiber optic,Two year,60,No,0,0
258,Male,0,Yes,41,Yes,Yes,Fiber optic,One year,60,No,0,2
259,Female,0,No,72,Yes,No,DSL,Month-to-month,25,No,0,1
260,Female,0,Yes,72,Yes,No,DSL,Month-to-month,80,No,0,2
261,Female,0,No,46,Yes,No,DSL,Month-to-month,96,No,0,2
262,Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,20,Yes,1,1
263,Male,0,Yes,29,No,Yes,Fiber optic,Month-to-month,45,No,0,1
264,Female,0,No,37,Yes,No,DSL,Two year,100,No,0,2
265,Male,0,No,19,Yes,Yes,Fiber optic,One year,62,No,0,0
266,Female,0,Yes,49,Yes,Yes,DSL,Two year,78,No,0,2
267,Male,0,Yes,13,Yes,Yes,DSL,Two year,44,No,0,1
268,Female,0,No,22,Yes,No,Fiber optic,Month-to-month,50,No,0,0
269,Female,1,No,53,Yes,No,DSL,Two year,97,No,0,3
270,Male,0,No,24,Yes,Yes,DSL,Two year,50,Yes,1,0
271,Female,0,No,37,Yes,No,Fiber optic,Month-to-month,20,No,0,1
272,Male,0,Yes,6,Yes,No,DSL,Two year,55,Yes,1,0
273,Female,0,No,7,Yes,No,DSL,Month-to-month,80,Yes,1,0
274,Female,0,Yes,12,Yes,Yes,Fiber optic,Month-to-month,20,Yes,1,1
275,Female,0,No,71,Yes,No,Fiber optic,Month-to-month,25,No,0,1
276,Male,0,Yes,26,Yes,Yes,Fiber optic,Month-to-month,82,No,0,0
277,Female,0,No,6,Yes,Yes,Fiber optic,Month-to-month,46,No,0,0
278,Male,0,No,32,Yes,No,DSL,Month-to-month,88,No,0,0
279,Female,0,No,47,Yes,No,DSL,Month-to-month,59,No,0,2
280,Female,0,Yes,31,Yes,No,DSL,Month-to-month,21,No,0,1
281,Female,0,Yes,52,Yes,No,DSL,Month-to-month,84,No,0,2
282,Female,0,No,60,No,No,DSL,Month-to-month,61,No,0,2
283,Female,0,No,48,Yes,Yes,DSL,Month-to-month,66,No,0,2
284,Male,0,No,45,Yes,Yes,DSL,Month-to-month,19,No,0,1
285,Female,0,No,39,Yes,No,Fiber optic,Month-to-month,80,Yes,1,2
286,Female,1,No,1,Yes,Yes,Fiber optic,One year,86,Yes,1,3
287,Male,0,No,1,Yes,No,DSL,Month-to-month,70,Yes,1,0
288,Female,0,No,6,Yes,No,Fiber optic,Month-to-month,79,Yes,1,0
289,Male,0,No,9,Yes,No,Fiber optic,Month-to-month,76,No,0,0
290,Male,0,Yes,72,Yes,No,DSL,Month-to-month,114,No,0,2
291,Male,1,No,71,No,Yes,Fiber optic,Month-to-month,52,No,0,3
292,Male,0,Yes,71,Yes,No,DSL,One year,20,No,0,1
293,Female,0,No,64,Yes,No,Fiber optic,One year,95,No,0,2
294,Female,0,Yes,28,Yes,No,Fiber optic,Month-to-month,20,No,0,1
295,Female,0,Yes,70,Yes,No,DSL,Month-to-month,115,No,0,2
296,Male,1,No,39,Yes,No,DSL,Month-to-month,96,Yes,1,3
297,Female,0,Yes,16,Yes,No,Fiber optic,Two year,20,No,0,1
298,Male,1,No,66,Yes,Yes,Fiber optic,Month-to-month,111,Yes,1,3
299,Female,1,No,21,Yes,Yes,DSL,Month-to-month,95,No,0,3
300,Female,0,No,44,Yes,No,Fiber optic,Month-to-month,85,Yes,1,2
301,Female,1,No,54,Yes,No,DSL,One year,99,No,0,3
302,Male,0,No,4,Yes,Yes,Fiber optic,Month-to-month,57,No,0,0
303,Female,1,No,60,Yes,No,Fiber optic,Month-to-month,110,No,0,3
304,Male,0,No,26,Yes,No,DSL,Two year,92,No,0,0
305,Female,0,Yes,24,Yes,Yes,Fiber optic,Month-to-month,79,No,0,0
306,Male,0,Yes,53,Yes,Yes,DSL,Two year,19,No,0,1
307,Female,0,Yes,46,Yes,Yes,Fiber optic,Month-to-month,19,No,0,1
308,Female,0,Yes,56,Yes,No,DSL,Two year,89,No,0,2
309,Female,0,No,7,Yes,Yes,Fiber optic,Month-to-month,59,No,0,0
310,Female,0,No,1,Yes,Yes,DSL,One year,86,Yes,1,0
311,Male,0,No,1,Yes,No,DSL,Month-to-month,46,No,0,0
312,Male,0,No,60,Yes,No,Fiber optic,Month-to-month,20,No,0,1
313,Male,0,No,61,Yes,Yes,Fiber optic,Two year,21,No,0,1
314,Female,0,No,42,No,No,Fiber optic,Month-to-month,34,Yes,1,1
315,Male,0,No,27,Yes,No,Fiber optic,Month-to-month,20,No,0,1
316,Female,0,Yes,9,Yes,Yes,Fiber optic,One year,85,Yes,1,0
317,Female,0,No,72,Yes,No,DSL,Two year,20,No,0,1
318,Female,0,No,23,Yes,No,DSL,One year,20,No,0,1
319,Female,1,No,47,Yes,No,Fiber optic,Month-to-month,95,Yes,1,3
320,Female,1,No,54,Yes,Yes,Fiber optic,Month-to-month,19,No,0,3
321,Male,1,No,2,Yes,Yes,DSL,One year,96,No,0,3
322,Male,0,No,38,No,No,DSL,Two year,60,No,0,1
323,Female,1,No,47,Yes,No,DSL,Month-to-month,100,No,0,3
324,Male,0,No,22,Yes,No,DSL,One year,56,No,0,0
325,Male,0,No,2,Yes,No,DSL,Two year,91,No,0,0
326,Female,0,Yes,72,Yes,Yes,Fiber optic,Month-to-month,79,No,0,2
327,Male,1,No,58,No,No,Fiber optic,Month-to-month,45,Yes,1,3
328,Male,0,Yes,69,Yes,No,Fiber optic,Month-to-month,79,No,0,2
329,Male,0,No,18,Yes,No,DSL,Month-to-month,70,No,0,0
330,Female,0,Yes,55,Yes,Yes,Fiber optic,Month-to-month,20,No,0,1
331,Female,0,No,46,Yes,No,DSL,Two year,101,No,0,2
332,Male,0,No,5,Yes,No,DSL,One year,19,No,0,1
333,Female,0,No,4,No,Yes,Fiber optic,One year,34,Yes,1,1
334,Male,1,No,5,Yes,Yes,Fiber optic,Month-to-month,90,Yes,1,3
335,Female,0,Yes,65,Yes,Yes,Fiber optic,Month-to-month,61,No,0,2
336,Male,0,No,35,Yes,Yes,DSL,One year,21,No,0,1
337,Female,1,No,45,Yes,Yes,Fiber optic,Two year,97,No,0,3
338,Female,0,No,2,Yes,Yes,DSL,Two year,20,No,0,1
339,Female,0,Yes,22,Yes,No,Fiber optic,Month-to-month,80,No,0,0
340,Male,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,69,No,0,2
341,Female,0,Yes,30,Yes,No,DSL,Month-to-month,66,No,0,0
342,Male,0,No,61,Yes,Yes,DSL,Two year,108,No,0,2
343,Female,0,No,29,Yes,Yes,DSL,Month-to-month,20,No,0,1
344,Male,0,No,61,Yes,No,DSL,One year,106,Yes,1,2
345,Male,0,Yes,25,Yes,No,DSL,One year,90,Yes,1,0
346,Male,0,No,71,Yes,Yes,Fiber optic,Month-to-month,113,No,0,2
347,Female,0,No,1,No,No,Fiber optic,Month-to-month,35,No,0,1
348,Female,0,Yes,62,Yes,No,DSL,Two year,70,No,0,2
349,Male,0,No,64,Yes,No,DSL,Month-to-month,74,No,0,2
350,Female,0,Yes,64,Yes,No,Fiber optic,One year,91,No,0,2
351,Male,1,No,29,Yes,Yes,DSL,Two year,84,No,0,3
352,Female,0,No,2,Yes,No,DSL,One year,71,Yes,1,0
353,Male,0,No,1,Yes,No,Fiber optic,Month-to-month,20,No,0,1
354,Male,0,No,1,Yes,Yes,Fiber optic,Month-to-month,51,Yes,1,0
355,Female,0,Yes,45,Yes,No,DSL,Month-to-month,25,No,0,1
356,Male,0,No,66,Yes,No,Fiber optic,Month-to-month,114,No,0,2
357,Female,0,No,54,Yes,Yes,DSL,Month-to-month,107,Yes,1,2
358,Female,0,Yes,70,Yes,Yes,Fiber optic,Two year,80,No,0,2
359,Male,1,No,37,Yes,No,DSL,Month-to-month,92,Yes,1,3
360,Male,1,No,3,Yes,Yes,Fiber optic,One year,80,Yes,1,3
361,Male,0,Yes,23,Yes,No,DSL,Month-to-month,55,No,0,1
362,Female,1,No,60,Yes,No,Fiber optic,Two year,100,No,0,3
363,Female,0,No,35,No,No,DSL,One year,33,No,0,1
364,Female,0,Yes,27,Yes,No,DSL,Two year,74,No,0,0
365,Female,0,Yes,24,No,No,Fiber optic,Month-to-month,52,No,0,1
366,Female,1,No,2,Yes,No,Fiber optic,Month-to-month,94,Yes,1,3
367,Male,0,No,67,Yes,No,DSL,Month-to-month,91,Yes,1,2
368,Male,0,No,2,Yes,No,DSL,Month-to-month,48,Yes,1,0
369,Female,0,No,1,Yes,Yes,Fiber optic,One year,20,Yes,1,1
